timestamp|channel_name|series_id|program_id|program_name|keywords|named_entities|google_trends|brand_mentions|commercial_count|etag
2018-01-07 13:00|wabcdt|EP00854045|EP008540450215|Our World With Black Enterprise|attend this summit:1,This husband and wife team bring:1,No pill heartburn:1,The AT&T network helping:1,start the claims process:1,provide the nationwide message:1,chasing the dream foundation:1,game the new all-time home run champ:1,buy a heart:1,Associate vice president Lu Yarbrough shares:1|Aaron:2,Hank Aaron:1,BMW:1,Popeye:1,Louisiana:1,Krispy Kreme:1,AT&T:1,Dingle:1,Insight:2,Hollywood:2,Los Angeles:2,Robert Downey Jr.:1,Hollywood Hills:1,Keanu Reeves:1||BMW:1,AT&T:1|3|08530179dea448f2403733358f5ed043
2018-01-07 02:30|wcbsdt|EP00040457|EP000404570684|Inside Edition Weekend|Got an icy spot:1,a man hunt launched:1,discover a layer:1,attack the president:1,Camera man gene shot:1,sue that man:1,scoured the area:1,hurt anybody:1,Shed the weight:1,A guy launched:1|White House:1,Steve Bannon:1,Mexico:1,Prince Harry:1,New York City:1,Tonya:3,Nancy Kerrigan:1,Detroit:2,Tonya Harding:1,Samuel:1,ABC News:1,Grinch:2,California:1,Facebook:1,Turkey:1,Starbucks:3,Flores:2,New Zealand:4,Noel Turner:2,Gabriel:1|Tonya Harding:2|Facebook:1,Starbucks:3|3|41ec1e533d6accbcc450ccc36b5985da
2018-01-07 11:30|wnetdt|SH00199201|SH001992010000|Theater Talk|got a scholarship:1,include Julius caesar:1,the leading lady let:1,Uma Thurman trying:1,let the goat poop:1,this island savaged:1,The Manhattan Theatre Club brought:1,Cartoon material 's:1,dislike this tone:1,alter the text:1|Nickelodeon:1,Chicago:1,Tina Landau:1,Michael Arden:2,Amy Schumer:5,Uma Thurman:3,Blair Brown:1,Brigitte Bardot:2,Laura Benanti:2,1984:2,John Patrick Shanley:4,Michael Moore:1,Adam:1,Farinelli:1,Mark Rylance:3,Philip V of Spain:1,Danny Aiello:2,David Henry Hwang:1,Latin:1,Jesus:1,The New York Times:1,New Year:2,Brooklyn:2,Paula Zahn:1,Jos:1,Cuba:1,Japan:1,Barclays Center:1,Miami:2,Florida:1|||1|65e154b153ca23af6a6fdf7304938b8c
2018-01-06 00:37|wnbcdt|EP01842300|EP018423000631,EP018423000628,EP018423000625,EP018423000619,EP018423000622|Late Night With Seth Meyers|Seth a great amount:1,Intuit TurboTax resolution binge:1,The Nicoderm cq patch prevent:1,claim a mask:1,kill somebody:1,Mom got:1,back that claim:1,Chil chicken sing:1,put a Breathe Right strip:1,the president standing:1,assure you:1,summon at least a shred:1,president trump broke:1,their pro Moore TV Ads awkward:1,disavow a man:1,wedge it:1,discuss a job Opportunity:1,trump summon:1,wear any makeup:1,wearing a reporter Halloween costume:1,care every day's the weekend stuff work:1,meet the guy:1,cite MSNBC anchor:1,the Opportunity play:1,meet Gary volesky:1,ride this wave:1,welcome Alex Lahey:1,Moore's lawyer Trenton garmon tried:1,guide you:1,tax Roy moore:1,develop exactly the right Winston Churchill:1,wrote this book:1,the trump team brought:1,fear identity theft:1,enjoy a naked egg taco:1,list all graduate level courses:1,truncate the title:1,harness the power:1,brought a long haul truck driver:1,impact the gas bill:1,play that Achy Breaky song:1,answer a yes or no question:1,elect a president:1,left CNN anchor Brooke Baldwin:1,president trump sparked:1,remember a Lil' sheriff section:1,kill you:1,broke the story:1,dropped that dime:1,dispute anything:1,|Michael Showalter:4,Senate:7,Alabama:9,Donald Trump:13,Millard Fillmore:1,Russia:7,Robert Mueller:1,Moscow:1,Americans:2,Florida:6,Tiger Woods:2,Dustin Johnson:2,Turkey:1,House:2,Nancy Pelosi:1,Michigan:7,John Conyers:4,Twitter:4,Roy Moore:27,Birmingham:2,Hollywood:2,Thanksgiving:1,Afghanistan:1,Asia:3,Seth:15,YouTube:8,Netflix:17,NBC:3,Keanu Reeves:2,Sandra Bullock:1,Stan Winston:1,Chanel:2,Apple:10,Angle:2,Mario Van Peebles:1,Aflac:3,Aveeno:1,Vietnam:6,Boston:3,Brooklyn:5,Sarah:1,Los Angeles:2,Holly Hunter:1,Ray Romano:1,Dixieland:3,Lexus:4,Brita:2,Vitamin C:1,Facebook:4,Carson Daly:5,Kevin Devine:1,Maria Bamford:3,Minnesota:3,Animation:1,Lennon Parham:1,Bridget Everett:1,Jill Soloway:1,Christina Aguilera:1,Whitney Houston:1,Serena Williams:1,Congress:8,White House:3,Kellyanne Conway:1,Avalanche:2,Charlie Rose:2,Fedora:1,Jeff Daniels:3,Fred Armisen:1,Dammit:1,The Bucket List:1,Shetland:1,Ben Daniels:1,William Shatner:1,Opera:1,Detroit:1,Mark Twain:1,Morocco:1,Danielle Brooks:3,Katt Williams:1,Jimmy Fallon:1,South Carolina:2,Chaka Khan:1,Queens:1,Michael Patterson:1,Sphinx:1,Jamaica:2,Montego Bay:1,Toronto:1,Katie O'Brien:1,Blue Angels:1,Vic:1,Al Franken:4,Bill Clinton:2,Mo Brooks:3,Wyoming:1,Mike Enzi:1,NBC News:1,Arkansas:1,YMCA:1,MSNBC:5,Ali:6,Canada:3,Lindsey Graham:2,Flo:1,Dill:2,New Jersey:1,California:1,Jeff Sessions:1,ESPN:1,Fox:1,Sarah Huckabee Sanders:1,Insight:1,Kevin Spacey:1,Arctic:1,Barack Obama:2,Kristin Scott Thomas:5,Bigfoot:1,Listerine:2,Hugh Grant:2,Ralph Fiennes:1,Winston Churchill:10,Sid Vicious:1,France:2,World War II:1,Paris:1,TurboTax:1,Melbourne:1,Australia:1,Medic:1,Iraq:1,Texas:1,Kate Mara:1,Constance Zimmer:1,David Fincher:1,Albert Einstein:1,AT&T:1,Wendy's:2,McDonald's:3,Paul Manafort:1,John Lithgow:5,New Orleans:1,Golden Globe Award:1,Marlon Brando:1,England:2,Mel Gibson:1,Utah:2,Kevin Bacon:1,Sarah Jessica Parker:1,New Zealand:1,Harry Houdini:1,Oklahoma City:2,St. Louis:1,Bill Maher:1,Taco Bell:3,Ben Affleck:1,Batman:5,George Clooney:1,AOL Instant Messenger:1,CNN:6,Hillary Clinton:1,Grammy Award:1,Pittsburgh:13,Amish:1,Michael Lewis:3,Amos Tversky:2,Iowa:1,Mourning:1,Paula Poundstone:3,Chicago:1,North Korea:1,Jesus:1,Vladimir Putin:1,Steve Bannon:1,Jeff Bezos:1,Ed Henry:1,Brooke Baldwin:1,Mitch McConnell:2,Carey Mulligan:3,Mississippi:1,Dee Rees:1,Bette Midler:2,Patty:1,Jonah Hill:1,Yiddish:1,Hail Mary:1,High School Musical:1,Russians:1,Sichuan:8,San Francisco:1,Oklahoma:1,New Hampshire:1,Phil Collins:7,Sam Anderson:1,Jack Whitehall:1,Billy Ray Cyrus:4,ZZ Top:1,Neanderthal:1,Johnny Cash:1,Kentucky:1,George Jones:2,Loretta Lynn:1,Bristol:1,NASCAR:1,West Virginia:1,Mercury Records:1,|Jeff Sessions:1,Boston:1,Intel:1,classroom:1,|Apple:10,Facebook:4,Ford:2,Amazon:1,AT&T:1,McDonald's:4,|18|b68d57c352adadd20e9d48e1afc55a6c
2018-01-06 10:30|wnetdt|SH00428005|SH004280050000,SH004280050000|Washington Week|support the president:2,build this wall:2,The state correction law authorizes:1,view this issue:2,answered reporter Karen DeWitt's question:1,no state or local government enter:1,protect a victim's identity:1,facing the trump administration:2,understand this volatile new president:2,discuss the foreign policy challenges:2,stabilize the region:1,shape the way:1,bring the bill:1,the president criticized:1,|Congress:4,Americans:2,Susan Collins:2,Hook:2,Jeff Sessions:8,California:4,Iran:12,Pakistan:2,North Korea:6,North:2,South Korea:10,The New Yorker:2,Pyongyang:2,China:14,Barack Obama:2,Mike Pence:2,Middle East:2,Jerusalem:2,Israel:2,Oval Office:2,Andrew Cuomo:1,Rikers Island:1,|Matt Ryan:1,||2|7f02f804b6c4b8dccce1a7bc8096f447
2018-01-06 12:00|wnetdt|SH01281078|SH012810780000|The Open Mind|Support the infant/toddler credential:1,fix that problem:1,follow the money:1,represent the will:1,borrow a line:1,the intimate contact hmm:1,view this program:1,that nature belongs:1,alter everything:1,use the scientific method:1|California:3,Hillary Clinton:1,Erin Brockovich:2,Americans:1,Paris:1,New Jersey:10,Philippines:1,Bill Nye:1,James Hansen:1,Twitter:1,Facebook:1,Michael Maron:1||Facebook:1|1|6a26e1207570494bc4907823356fec83
2018-01-05 23:35|wcbsdt|EP01906276|EP019062760474,EP019062760473,EP019062760472,EP019062760471,EP019062760460|The Late Show With Stephen Colbert|misuse Lyrica:3,pull stuff:1,sends the Donald J. trump signature suit collection:1,Visit nystateofhealth.ny.gov health insurance saved:1,start Wade bang:1,put this delicately--:1,reason-- the reason:1,this dark energy render:1,celebrate exactly the same thing:1,suck the joy:1,mimic anybody's face:1,watch this guy:1,president trump continues:1,Robitussin CF Max severe:1,The president's economic agenda paying:1,prove anything:1,Mitch McConnell butting:1,A guy walked:1,hand that responsibility:1,Stuck no problem:1,bazooka Joe comics:1,multi-room DVR service included:1,won the J.D. power award:1,Ti guess:1,name something:1,start something:1,enjoy the flight:1,Miriam Webster dictionary--:1,announced the time's up legal defense fund:1,the Donald Trump animatronic robot unveiled:1,welcome Margo price:1,call this magic bus:1,president trump helped:1,Randi's dose kicking:1,hosted CNN's new year's eve broadcast:1,Dept act:1,Basketball players 're:1,thermonuclear war:1,please everybody:1,stay human:1, everybody:1,No pill heartburn:1,build that wall:1,cook a Turkey:1,play the video game:1,our president understand:1,shoot what day:1,bergdorff Goodman:1,got the vice president:1,|Mike Pence:3,Utah:2,Orrin Hatch:1,Donald Trump:16,Mitt Romney:1,Twitter:8,Massachusetts:1,Charmin:16,Neil Armstrong:1,Vitamin C:2,Bigfoot:2,Netflix:7,John Oliver:1,New Year:6,Saturnalia:2,Samsung:2,Checkmate:1,Pentagon:1,Cape Canaveral:1,Florida:1,NASA:4,Chris Ferguson:1,Boeing:2,Hook:1,Hose:2,Mickey Mouse:1,Fibromyalgia:6,Liberty Mutual:2,Wish:2,Neutrogena:2,North Korea:6,Chad:8,Denver:3,Colorado:6,Trump Tower:1,Russians:2,Aveeno:4,Liam Neeson:1,CBS:14,Yokohama:1,Japan:2,Asia:4,Xi Jinping:1,China:7,Los Angeles:2,Colombia:1,Bluetooth:1,Russia:4,Senate:4,Steve Bannon:5,Mitch McConnell:2,McDonald's:1,Michael Wolff:1,White House:2,Brita:1,Italy:1,Hulu:8,AT&T:2,Jon Batiste:3,Myrrh:1,Jeff Sessions:3,Couch:1,Bernie Sanders:1,Sharon Osbourne:1,Queens:2,NBC:2,Jimmy Fallon:1,Jimmy Kimmel:2,Bobby Flay:3,Rachel Brosnahan:3,Lincoln Continental:1,Stupid Girls:1,Earl:1,Chicago:1,Rachel:2,Tom Brady:3,Michigan:1,Beijing:1,Gu Gu:1,Apple:2,Seth Rogen:1,Seth:1,Houston:2,Australia:1,Holiday Inn:1,Manchester:1,Congress:1,Flo:1,George Soros:1,America Ferrera:3,Hollywood:1,David:2,Stephen Colbert:1,Justin Timberlake:1,Miriam Webster:2,Kick:1,Julien Baker:1,Ipswich:1,Illinois:1,Donald Trump Jr.:1,Ed Gillespie:1,Virginia:1,Paul Manafort:3,Tokyo:1,Novak Djokovic:1,Sarah Huckabee Sanders:1,South Korea:4,Jon Voight:1,Thomas Jefferson:1,Anderson Cooper:5,CNN:6,Randi Kaye:4,California:8,Monterey Bay:1,Cali:1,Philadelphia:1,Ferrari:1,South Carolina:1,France:2,Iran:11,Tehran:2,Muslim:8,Venezuela:1,Africa:1,Facebook:1,YouTube:1,Google:1,LinkedIn:1,Hashtag:1,Great Britain:1,England:1,New Jersey:1,Harry Potter:1,Carol Burnett:8,Advil:1,Michael Batiste:1,Thanksgiving:1,TurboTax:2,Ed Sullivan:1,Gary Moore:1,Dean Martin:1,Milton Berle:1,Sid Caesar:1,Harvey Korman:1,Tarzan:4,Lewis Black:2,AC/DC:1,Turkey:2,Portugal:1,Lewis:1,Comedy Central:1,Matt Lauer:1,Jeff Flake:2,Bob Corker:1,Albert Einstein:3,|Jeff Sessions:3,Steve Bannon:3,Breitbart:1,LinkedIn:1,|Samsung:2,McDonald's:1,AT&T:2,Amazon:1,Apple:2,Facebook:1,Google:1,|23|3a8cfb0721abc0a21b758e468e011591
2018-01-05 15:00|wnbcdt|EP00599270|EP005992702574,EP005992702573,EP005992702572,EP005992702571|The Ellen DeGeneres Show|allow that man:1,consider that porn:1,bought this book:1,runs this house:1,help my mom:1,remind you:1,save money:1,fashion designer Gianni Versace shot:1,send a wool Ellen:1,wins the weeklong tournament:1,Transit a mess:1,Enjoy the winter song:1,check instagram:1,spread kindness:1,tackle this storm:1,wrote a song:1,hurt you:1,appreciate you:1,send it:1,April showers bring:1,hate this game:1,represent something:1,read the question:1,flew family:1,salt spreaders fan:1,use somebody else's toothbrush:1,accumulate a powdery snow:1,entertain you:1,battle something:1,cover about 1:1,600 lane miles:1,spell game:1,Hempstead high school reopen:1,mix this stuff:1,whoe this:1, your breath:1,welcome kalen Allen:1,pull the next person:1,restore the power:1,remits a group:1,bring that energy:1,The prospect school remain:1,|Twitter:4,Donald Trump:1,Trump Tower:1,Philadelphia:4,Pennsylvania:3,Arizona:1,Toronto:1,Canada:2,Alaska:2,Boston:1,Massachusetts:1,New Jersey:5,Pakistan:3,Karachi:1,Iowa:3,Seinfeld:1,Chicago:1,Ray Romano:1,Gianni Versace:6,Liberace:1,Miami:5,Versace:3,Max Greenfield:1,New Year:2,Mexico:1,Silicon Valley:1,Google:1,Heat:9,New York City:8,Long Island:9,Queens:2,Blizzard:7,Arctic:3,Brian Thompson:1,Grinch:2,Sarah Paulson:1,Jason:3,Burger King:1,Israel:1,St. Louis:3,Missouri:1,Walgreens:3,Ellen DeGeneres:2,Cleveland:6,Ohio:2,Tristan:2,Courtney:1,Kim Kardashian:3,Michael Jackson:1,Brad Pitt:1,Kris Jenner:1,North Korea:1,Royal Wedding:1,Rachel:1,Jennifer Aniston:1,NASA:1,Janice Huff:2,Storm:2,Long Island Sound:1,Brooklyn:1,Bedford:1,Goliath:1,Suffolk:2,John Chandler:2,California:1,San Francisco:1,Calvin Harris:1,NBC:4,Snoop Dogg:1,Hanukkah:7,Seth Meyers:4,Seth:1,Spain:2,Hollywood:2,Fox:3,DJ Khaled:2,Meghan Trainor:1,MTV:1,Platinum:1,Steve Bannon:1,Florida:2,Monmouth:1,Connecticut:1,North:1,North Carolina:1,Brooklyn Heights:1,Indiana:1,Ontario:1,Illinois:1,Walmart:1,Kansas:3,Ricky Martin:1,Tequila:1,Puerto Rico:3,Argentina:1,Latin America:1,General Hospital:1,LGBT:1,Jesus:1,Facebook:1,Monopoly:1,Ball:1,|Khloe Kardashian:5,Steve Bannon:1,|Google:1,Facebook:1,Amazon:1,|24|a0c3b35d806fd80786c57b8786b7657c
2018-01-29 05:59|cnnhd|EP01739350|EP017393502034|New Day With Chris Cuomo and Alisyn Camerota|broke this story:1,bring Gillette quality:1,pursue this legislation:1,undermine the investigation:1,The Nicoderm cq patch prevent:1,read this stuff:1,fund the president's border wall:1,bringing America's number one shave:1,Ken Starr's commentary peculiar:1,Complete the job:1|Americans:1,Gillette:1,Listerine:2,Capitol Hill:2,Robert Mueller:5,Congress:7,Lindsey Graham:3,David:6,Devin Nunes:2,Senate:2,Intel:2,Aveeno:1,Sing Sing:1,Ken Starr:5,Bill Clinton:1,Samsung:4,Netflix:2,Sean Spicer:1,Davos:1,Heat:1,Harvey Weinstein:3,Steve Wynn:2,Hillary Clinton:9,Afghanistan:1,Kabul:3,Dell:2,Liberty Mutual:1,Afghan:1,Nick Paton Walsh:1,London:1,Taliban:3,Indianapolis:1,Vikings:1,Super Bowl:1,Minneapolis:1,WWE:2,ESPN:1,CNN:2,Brian Stelter:1,Bruno Mars:1,McDonald's:1,Grammy Award:1,Steve Bannon:1,Cheeseburger:1,Nikki Haley:3,Solidarity:1,Time:1,Donald Trump Jr.:1,Michael Wolff:1,David Frum:1,Donald Trump:6,Twitter:2,Chris Cuomo:1,Poppy Harlow:1,Russia:3,White House:1|State of the Union:10,Devin Nunes:2,Hillary Clinton:9,Nikki Haley:3|Intels:2,Samsung:4,McDonald's:1|3|61ab216fccc1e534d25126b11617d8ed
2018-01-29 09:00|cnnhd|EP02615435|EP026154350491|CNN Newsroom With John Berman and Poppy Harlow|At& T network security helps:1,discredit this Russia investigation:1,oversees the special counsel Russia investigation:1,omake that jum:1,The AT&T network helping:1,not a president charged:1,got this ability:1,The world champion headed:1,address the question:1,the deputy attorney general rod Rosenstein authorized:1|CNN:2,Whitewater:2,Robert Mueller:4,Baltimore:1,Ken Starr:4,Congress:9,McDonald's:2,Brian Stelter:1,Steve Bannon:1,Michael Wolff:1,Twitter:2,Havana:1,New York City:1,Jay-Z:1,White House:1,Russia:12,AT&T:1,Hillary Clinton:8,Nikki Haley:2,Kendrick Lamar:1,Donald Trump:2,Sean Spicer:2,Davos:1,Amber:1,Devon:1,Rod Rosenstein:1,Jeff Sessions:1,House:3,CBS:1,Liberty Mutual:1,North America:1,Devin Nunes:1,Russians:1,Intel:1,Aveeno:1,Vladimir Putin:3,Moscow:1,Massachusetts:2,New England Patriots:1,Minnesota:2,Hines Ward:1,Minneapolis:1,Super Bowl:2,Tom Brady:1,Cassie:1,Joan Lunden:1,The New York Times:2,Capitol Hill:1,Adam Schiff:1,Senate:4,Lindsey Graham:1|Nikki Haley:3,Hillary Clinton:10,CBS:1,Devin Nunes:1|McDonald's:3,AT&T:1,Intels:1|5|0af7ce59a4036ce096479381941c2ef7
