etag|genre
9ef37a501b3124c6f8748a613ae60039|Talk News 
03605cb7d2d3596f3c160ca36064b53d|News 
7e2cc9dc42f16bb5b5ad0ce1bb56f887|News Entertainment Comedy 
87c95bea6ac9a5ddbd1c0ab0ca9db89b|Sports non-event News Sports talk 
35b00a36b78f7f8eb6ae483363f844b5|Talk News Public affairs Politics 
b4c183fcc316d9931ad236d30968ebe5|News 
81cf22598f77119e5b4731cef425c4d7|News 
25700369d2c010b872d164d06dd57226|Talk News 
21a0a379a0b84aaf4d4ae4df61a54118|News 
403ad1d348100dc9182cf5065f3e2642|Sports non-event Basketball 
5ad30fea09166dc00e8102792182477f|Talk News 
3934d96c6eccc04afb5e3fad55c06d5a|Sports talk Sports non-event 
5aafc2e55319f2f55da6b1ff570cb480|News Public affairs 
ade1708c65ab5accb4d433a4ff6495be|Newsmagazine Entertainment 
fdcc18ecdab9cc51cdad24ac0e5bb585|Sports non-event News Sports talk 
e6cad140ac37d0c1564e403d0d73aeb3|News Interview Politics 
1ecdf5b7dc3a0b65bab823f8cf3e4bd5|News 
22d747cd5f2ce84fbdbdfb5732eb9787|News 
0a879a4da968ed365ce8c8fbfed835ac|News 
b82127be99df662cac7ce0104a16a601|News 
c2a3192df569ccc4ec1d5b2bde0a338c|News 
2b466b6ac06c3ca6785625a7d943a29e|Talk 
97e597f9159c25200dddbd17a2cb9182|Sports talk Sports non-event 
cb9e1394495d48d71d1737c5356f389f|News 
d417b6e6ca47da395930793635b2936d|News 
51bed489a335105f07b136122814b20a|Sports talk 
529f5217dbd447d3f926189f5152a249|Sports non-event News Sports talk 
a8f7ee26eb28c0b7dd4635f26f34f5c5|News 
99d659365467e971fde522502d02488c|Interview News 
e18b29abfe5fc6732699913dfa1ddfb3|Special News Special 
42c62404ad02a6baad67ce32d70775cc|Talk Comedy 
a9bcd19d4b6a48b394bc02f5cc092776|News 
36d293c5232c66d90c6e133995a19f03|Newsmagazine 
d2c9f829b7efda8aae93aeb1595b14bc|News 
0f2424caac9c4c891b34d316acc338c4|News Interview Politics 
1c1d3600c0b385c0b0b2a590d0858f86|News 
1573aa12387ea7fcc2b815fed010ee56|Talk Newsmagazine 
